tag	bash	psh	same
p0s0_dbr	Y	Y	Y
p0s0_case	Y	Y	Y
p0s0_rem	[][][][]	[][][][]	Y
p0s0_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p0s1_dbr	N	N	Y
p0s1_case	N	N	Y
p0s1_rem	[a][a][a][a]	[a][a][a][a]	Y
p0s1_sub	[Za][Za][Za][a]	[Za][Za][Za][a]	Y
p0s2_dbr	Y	Y	Y
p0s2_case	Y	Y	Y
p0s2_rem	[b][][b][]	[b][][b][]	Y
p0s2_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p0s3_dbr	Y	Y	Y
p0s3_case	Y	Y	Y
p0s3_rem	[ab][][ab][]	[ab][][ab][]	Y
p0s3_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p0s4_dbr	Y	Y	Y
p0s4_case	Y	Y	Y
p0s4_rem	[aa][][aa][]	[aa][][aa][]	Y
p0s4_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p1s0_dbr	Y	Y	Y
p1s0_case	Y	Y	Y
p1s0_rem	[][][][]	[][][][]	Y
p1s0_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p1s1_dbr	N	N	Y
p1s1_case	N	N	Y
p1s1_rem	[a][a][a][a]	[a][a][a][a]	Y
p1s1_sub	[a][a][a][a]	[a][a][a][a]	Y
p1s2_dbr	N	N	Y
p1s2_case	N	N	Y
p1s2_rem	[b][b][b][b]	[b][b][b][b]	Y
p1s2_sub	[b][b][b][b]	[b][b][b][b]	Y
p1s3_dbr	N	N	Y
p1s3_case	N	N	Y
p1s3_rem	[ab][ab][ab][ab]	[ab][ab][ab][ab]	Y
p1s3_sub	[ab][ab][ab][ab]	[ab][ab][ab][ab]	Y
p1s4_dbr	N	N	Y
p1s4_case	N	N	Y
p1s4_rem	[aa][aa][aa][aa]	[aa][aa][aa][aa]	Y
p1s4_sub	[aa][aa][aa][aa]	[aa][aa][aa][aa]	Y
p2s0_dbr	N	N	Y
p2s0_case	N	N	Y
p2s0_rem	[][][][]	[][][][]	Y
p2s0_sub	[][][][]	[][][][]	Y
p2s1_dbr	Y	Y	Y
p2s1_case	Y	Y	Y
p2s1_rem	[][][][]	[][][][]	Y
p2s1_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p2s2_dbr	Y	Y	Y
p2s2_case	Y	Y	Y
p2s2_rem	[][][][]	[][][][]	Y
p2s2_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p2s3_dbr	Y	Y	Y
p2s3_case	Y	Y	Y
p2s3_rem	[b][][a][]	[b][][a][]	Y
p2s3_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p2s4_dbr	Y	Y	Y
p2s4_case	Y	Y	Y
p2s4_rem	[a][][a][]	[a][][a][]	Y
p2s4_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p3s0_dbr	Y	Y	Y
p3s0_case	Y	Y	Y
p3s0_rem	[][][][]	[][][][]	Y
p3s0_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p3s1_dbr	Y	Y	Y
p3s1_case	Y	Y	Y
p3s1_rem	[a][][a][]	[a][][a][]	Y
p3s1_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p3s2_dbr	Y	Y	Y
p3s2_case	Y	Y	Y
p3s2_rem	[b][][b][]	[b][][b][]	Y
p3s2_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p3s3_dbr	Y	Y	Y
p3s3_case	Y	Y	Y
p3s3_rem	[ab][][ab][]	[ab][][ab][]	Y
p3s3_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p3s4_dbr	Y	Y	Y
p3s4_case	Y	Y	Y
p3s4_rem	[aa][][aa][]	[aa][][aa][]	Y
p3s4_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p4s0_dbr	Y	Y	Y
p4s0_case	Y	Y	Y
p4s0_rem	[][][][]	[][][][]	Y
p4s0_sub	[][][][Z]	[][][][Z]	Y
p4s1_dbr	Y	Y	Y
p4s1_case	Y	Y	Y
p4s1_rem	[a][][a][]	[a][][a][]	Y
p4s1_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p4s2_dbr	N	N	Y
p4s2_case	N	N	Y
p4s2_rem	[b][b][b][b]	[b][b][b][b]	Y
p4s2_sub	[Zb][Zb][Zb][bZ]	[Zb][Zb][Zb][bZ]	Y
p4s3_dbr	N	N	Y
p4s3_case	N	N	Y
p4s3_rem	[ab][b][ab][ab]	[ab][b][ab][ab]	Y
p4s3_sub	[Zb][ZZb][Zb][abZ]	[Zb][ZZb][Zb][abZ]	Y
p4s4_dbr	N	N	Y
p4s4_case	N	N	Y
p4s4_rem	[aa][a][aa][a]	[aa][a][aa][a]	Y
p4s4_sub	[Za][ZZ][Za][aZ]	[Za][ZZ][Za][aZ]	Y
p5s0_dbr	Y	Y	Y
p5s0_case	Y	Y	Y
p5s0_rem	[][][][]	[][][][]	Y
p5s0_sub	[][][][Z]	[][][][Z]	Y
p5s1_dbr	N	N	Y
p5s1_case	N	N	Y
p5s1_rem	[a][a][a][a]	[a][a][a][a]	Y
p5s1_sub	[Za][Za][Za][a]	[Za][Za][Za][a]	Y
p5s2_dbr	Y	Y	Y
p5s2_case	Y	Y	Y
p5s2_rem	[b][][b][]	[b][][b][]	Y
p5s2_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p5s3_dbr	Y	Y	Y
p5s3_case	Y	Y	Y
p5s3_rem	[ab][][ab][]	[ab][][ab][]	Y
p5s3_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p5s4_dbr	Y	Y	Y
p5s4_case	Y	Y	Y
p5s4_rem	[aa][][aa][]	[aa][][aa][]	Y
p5s4_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p6s0_dbr	N	N	Y
p6s0_case	N	N	Y
p6s0_rem	[][][][]	[][][][]	Y
p6s0_sub	[][][][]	[][][][]	Y
p6s1_dbr	N	N	Y
p6s1_case	N	N	Y
p6s1_rem	[a][a][a][a]	[a][a][a][a]	Y
p6s1_sub	[a][a][a][a]	[a][a][a][a]	Y
p6s2_dbr	N	N	Y
p6s2_case	N	N	Y
p6s2_rem	[b][b][b][b]	[b][b][b][b]	Y
p6s2_sub	[b][b][b][b]	[b][b][b][b]	Y
p6s3_dbr	N	N	Y
p6s3_case	N	N	Y
p6s3_rem	[ab][ab][ab][ab]	[ab][ab][ab][ab]	Y
p6s3_sub	[ab][ab][ab][ab]	[ab][ab][ab][ab]	Y
p6s4_dbr	N	N	Y
p6s4_case	N	N	Y
p6s4_rem	[aa][aa][aa][aa]	[aa][aa][aa][aa]	Y
p6s4_sub	[aa][aa][aa][aa]	[aa][aa][aa][aa]	Y
p7s0_dbr	Y	Y	Y
p7s0_case	Y	Y	Y
p7s0_rem	[][][][]	[][][][]	Y
p7s0_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p7s1_dbr	Y	Y	Y
p7s1_case	Y	Y	Y
p7s1_rem	[a][][a][]	[a][][a][]	Y
p7s1_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p7s2_dbr	N	N	Y
p7s2_case	N	N	Y
p7s2_rem	[b][b][b][b]	[b][b][b][b]	Y
p7s2_sub	[Zb][Zb][Zb][bZ]	[Zb][Zb][Zb][bZ]	Y
p7s3_dbr	N	N	Y
p7s3_case	N	N	Y
p7s3_rem	[ab][b][ab][ab]	[ab][b][ab][ab]	Y
p7s3_sub	[Zb][ZZb][Zb][abZ]	[Zb][ZZb][Zb][abZ]	Y
p7s4_dbr	Y	Y	Y
p7s4_case	Y	Y	Y
p7s4_rem	[aa][][aa][]	[aa][][aa][]	Y
p7s4_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p8s0_dbr	N	N	Y
p8s0_case	N	N	Y
p8s0_rem	[][][][]	[][][][]	Y
p8s0_sub	[][][][]	[][][][]	Y
p8s1_dbr	N	N	Y
p8s1_case	N	N	Y
p8s1_rem	[a][a][a][a]	[a][a][a][a]	Y
p8s1_sub	[a][a][a][a]	[a][a][a][a]	Y
p8s2_dbr	N	N	Y
p8s2_case	N	N	Y
p8s2_rem	[b][b][b][b]	[b][b][b][b]	Y
p8s2_sub	[b][b][b][b]	[b][b][b][b]	Y
p8s3_dbr	N	N	Y
p8s3_case	N	N	Y
p8s3_rem	[ab][ab][ab][ab]	[ab][ab][ab][ab]	Y
p8s3_sub	[ab][ab][ab][ab]	[ab][ab][ab][ab]	Y
p8s4_dbr	N	N	Y
p8s4_case	N	N	Y
p8s4_rem	[aa][aa][aa][aa]	[aa][aa][aa][aa]	Y
p8s4_sub	[aa][aa][aa][aa]	[aa][aa][aa][aa]	Y
p9s0_dbr	N	N	Y
p9s0_case	N	N	Y
p9s0_rem	[][][][]	[][][][]	Y
p9s0_sub	[][][][]	[][][][]	Y
p9s1_dbr	N	N	Y
p9s1_case	N	N	Y
p9s1_rem	[a][a][a][a]	[a][a][a][a]	Y
p9s1_sub	[a][a][a][a]	[a][a][a][a]	Y
p9s2_dbr	Y	Y	Y
p9s2_case	Y	Y	Y
p9s2_rem	[][][][]	[][][][]	Y
p9s2_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p9s3_dbr	Y	Y	Y
p9s3_case	Y	Y	Y
p9s3_rem	[][][a][]	[][][a][]	Y
p9s3_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p9s4_dbr	Y	Y	Y
p9s4_case	Y	Y	Y
p9s4_rem	[][][][]	[][][][]	Y
p9s4_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p10s0_dbr	Y	Y	Y
p10s0_case	Y	Y	Y
p10s0_rem	[][][][]	[][][][]	Y
p10s0_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p10s1_dbr	N	N	Y
p10s1_case	N	N	Y
p10s1_rem	[a][a][a][a]	[a][a][a][a]	Y
p10s1_sub	[a][a][a][a]	[a][a][a][a]	Y
p10s2_dbr	Y	Y	Y
p10s2_case	Y	Y	Y
p10s2_rem	[b][][b][]	[b][][b][]	Y
p10s2_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p10s3_dbr	Y	Y	Y
p10s3_case	Y	Y	Y
p10s3_rem	[ab][][ab][]	[ab][][ab][]	Y
p10s3_sub	[Z][Z][Z][Z]	[Z][Z][Z][Z]	Y
p10s4_dbr	N	N	Y
p10s4_case	N	N	Y
p10s4_rem	[aa][aa][aa][aa]	[aa][aa][aa][aa]	Y
p10s4_sub	[aa][aa][aa][aa]	[aa][aa][aa][aa]	Y
p11s0_dbr	Y	Y	Y
p11s0_case	Y	Y	Y
p11s0_rem	[][][][]	[][][][]	Y
p11s0_sub	[][][][Z]	[][][][Z]	Y
p11s1_dbr	N	N	Y
p11s1_case	N	N	Y
p11s1_rem	[a][a][a][a]	[a][a][a][a]	Y
p11s1_sub	[Za][Za][Za][aZ]	[Za][Za][Za][aZ]	Y
p11s2_dbr	N	N	Y
p11s2_case	N	N	Y
