tag	bash	psh	same
g0	[ab]g0=[b]g0=[ba]g0=[sub]	[ab]g0=[b]g0=[ba]g0=[sub]	Y
g1	[ab]g1=[b]g1=[ba]g1=[sub]	[ab]g1=[b]g1=[ba]g1=[sub]	Y
g2	[!(*)]	[!(*)]	Y
g3	[b]g3=[ba]g3=[sub]	[b]g3=[ba]g3=[sub]	Y
g4	[a]g4=[ab]g4=[b]g4=[ba]g4=[sub]	[a]g4=[ab]g4=[b]g4=[ba]g4=[sub]	Y
g5	[ab]g5=[b]	[ab]g5=[b]	Y
g6	[sub/ab]	[sub/ab]	Y
g7	[a]g7=[ab]g7=[b]g7=[ba]	[a]g7=[ab]g7=[b]g7=[ba]	Y
g8	[a]g8=[ab]g8=[b]g8=[ba]g8=[sub]	[a]g8=[ab]g8=[b]g8=[ba]g8=[sub]	Y
g9	[sub/a]	[sub/a]	Y
g10	[.ha]	[.ha]	Y
g11	[ab]g11=[b]g11=[sub]	[ab]g11=[b]g11=[sub]	Y
