=== FULL SET: rows=3238 unique-keys=3195 duplicate-keys=42 extra-rows-hidden=43
    x3  psh/executor/job_control.py::JobManager.wait_for_job  lens=[2, 2, 120]
    x2  psh/core/state.py::ShellState.bash_command  lens=[2, 29]
    x2  psh/core/state.py::ShellState.command_number  lens=[2, 3]
    x2  psh/core/state.py::ShellState.debug_ast  lens=[2, 3]
    x2  psh/core/state.py::ShellState.debug_scopes  lens=[3, 6]
    x2  psh/core/state.py::ShellState.debug_tokens  lens=[2, 3]
    x2  psh/core/state.py::ShellState.errexit_eligible  lens=[2, 3]
    x2  psh/core/state.py::ShellState.foreground_pgid  lens=[2, 3]
    x2  psh/core/state.py::ShellState.history  lens=[2, 3]
    x2  psh/core/state.py::ShellState.history_file  lens=[2, 11]
    x2  psh/core/state.py::ShellState.in_forked_child  lens=[2, 3]
    x2  psh/core/state.py::ShellState.in_substitution  lens=[2, 3]
    x2  psh/core/state.py::ShellState.is_terminal  lens=[2, 3]
    x2  psh/core/state.py::ShellState.last_bg_pid  lens=[2, 3]
    x2  psh/core/state.py::ShellState.last_cmdsub_status  lens=[2, 3]
    x2  psh/core/state.py::ShellState.last_exit_code  lens=[2, 3]
    x2  psh/core/state.py::ShellState.max_history_size  lens=[2, 17]
    x2  psh/core/state.py::ShellState.pipestatus  lens=[2, 3]
    x2  psh/core/state.py::ShellState.stderr  lens=[3, 3]
    x2  psh/core/state.py::ShellState.stdin  lens=[3, 3]
    x2  psh/core/state.py::ShellState.stdout  lens=[3, 3]
    x2  psh/core/state.py::ShellState.supports_job_control  lens=[2, 3]
    x2  psh/core/state.py::ShellState.terminal_fd  lens=[2, 3]
    x2  psh/core/stream_bindings.py::StreamBindings.stderr  lens=[2, 3]
    x2  psh/core/stream_bindings.py::StreamBindings.stdin  lens=[2, 3]
    x2  psh/core/stream_bindings.py::StreamBindings.stdout  lens=[2, 3]
    x2  psh/interactive/line_editor.py::LineEditor.history  lens=[2, 3]
    x2  psh/interactive/line_editor.py::LineEditor.history_pos  lens=[2, 2]
    x2  psh/interactive/line_editor.py::LineEditor.original_line  lens=[2, 2]
    x2  psh/lexer/modular_lexer.py::ModularLexer.position  lens=[3, 14]
    x2  psh/lexer/state_context.py::LexicalState.command_position  lens=[3, 3]
    x2  psh/parser/recursive_descent/context.py::ParserContext.current  lens=[2, 2]
    x2  psh/parser/recursive_descent/context.py::ParserContext.nesting_depth  lens=[2, 2]
    x2  psh/parser/recursive_descent/context.py::ParserContext.substitution_depth  lens=[2, 2]
    x2  psh/parser/recursive_descent/parser.py::Parser.current  lens=[2, 3]
    x2  psh/protocols/__init__.py::JobRuntime.wait_for_job  lens=[2, 2]
    x2  psh/scripting/command_accumulator.py::CommandAccumulator.start_line  lens=[2, 5]
    x2  psh/shell.py::Shell.active_parser  lens=[2, 7]
    x2  psh/shell.py::Shell.env  lens=[2, 7]
    x2  psh/shell.py::Shell.stderr  lens=[2, 3]
    x2  psh/shell.py::Shell.stdin  lens=[2, 3]
    x2  psh/shell.py::Shell.stdout  lens=[2, 3]

=== >=100 SET: rows=60 unique-keys=60 duplicate-keys=0 extra-rows-hidden=0

